"x","y"
699.953658040613,498.722917865962
566.122609889135,925.275339279324
690.748244058341,810.461856424809
92.0081094373018,670.283607440069
700.267435284331,393.483271589503
71.4426583144814,23.5109815839678
842.917362228036,270.631327293813
590.605981880799,245.525616686791
126.596269896254,693.783542374149
269.406419480219,211.82581782341
147.207877598703,548.995302757248
300.141826970503,689.336030976847
324.75010631606,272.399427136406
209.185831481591,136.5500993561
107.176661025733,755.600876640528
263.854457065463,388.204024173319
263.378302566707,791.170374955982
421.78733390756,684.480176307261
800.375518156216,754.066068446264
656.323487404734,252.103878185153
53.0944450292736,749.933519400656
45.4566623084247,372.684160014614
356.893684482202,296.09005828388
501.376678934321,440.459408564493
673.77288104035,372.512972913682
396.962917177007,584.620179142803
907.496321946383,699.292056262493
591.539444867522,542.848956305534
301.884529180825,823.402857640758
329.800510546193,995.13329169713
625.353768467903,378.90677107498
917.97997104004,563.164695166051
965.405519120395,965.48046101816
79.9271571449935,24.452741490677
866.524772718549,272.230864968151
967.036872636527,593.45047082752
12.956885388121,892.086176900193
110.597328748554,449.56010975875
604.400155832991,1.44869717769325
452.103986172006,569.460853701457
392.395618837327,300.651542609558
49.7314364183694,576.090489979833
79.2286682408303,344.034463400021
816.010914510116,679.879324743524
230.455028824508,94.595339614898
716.107151238248,311.961964005604
589.864779030904,604.235422797501
720.626281574368,831.971315434203
468.509174883366,915.757172973827
849.020675290376,472.233974607661
607.339318376034,238.814606098458
631.831654347479,796.116003300995
327.980561880395,155.477117281407
502.617920050398,885.049387114123
141.90064300783,144.760778639466
34.0481016319245,539.213803363964
440.774954389781,56.6438194364309
879.386300453916,165.211394662037
123.300556326285,581.749379402027
103.771924506873,425.766591913998
191.735936561599,408.946696668863
588.293835753575,426.428775303066
794.326819945127,222.066035494208
491.072198143229,482.663191622123
896.342316875234,382.995697204024
896.670622518286,233.820911962539
43.1250261608511,36.128188483417
503.852457972243,99.5033469516784
77.5155259761959,80.4192768409848
382.526986300945,361.99986259453
593.656471697614,614.887293893844
122.268482809886,743.26599878259
